從者五圍能力
筋力（ABCDE）	以STR為數值依據（未含調整值），創角時此數值不須職骰，E為11~13，D為14~16，C為17~19，B為20~22，A為23~25。
敏捷（ABCDE）	以DEX為數值依據（未含調整值），創角時此數值不須職骰，E為11~13，D為14~16，C為17~19，B為20~22，A為23~25。
耐力（ABCDE）	以CON為數值依據（未含調整值），創角時此數值不須職骰，E為11~13，D為14~16，C為17~19，B為20~22，A為23~25。
魔力（ABCDE）	總SP量獲得額外追加，E為22~26，D為28~32，C為34~38，B為40~44，A為46~50。
幸運（ABCDE）	當進行非劇情與寶藏骰判定時若失敗，可以進行幸運檢定，若通過該檢定則能進行一次重骰，無通過幸運則保持原先檢定結果，無論重骰的結果如何皆須接受。\nE則每天能進行一次幸運檢定，每多一階級則每日可多進行一次幸運檢定。\n各階級的判定範圍如下：E為39，D為48，C為57，E為66，A為75。
職階技能（若有＋則以0.5等級來計算）
對魔力（ABCDE）	進行被法術影響檢定時，每多一等級則法術內容中之施法者等級下降二，若降到零或是負則法術效果歸零。
騎乘（ABCDE）	E獲得騎乘等級一與戰鬥騎乘等級一，該職階技能每多一階級騎乘與戰鬥騎乘加一技能等級。C以上則能駕馭野獸、魔獸等，駕馭程度以坐騎之HP決定，C為2D10HP以內，每多一技能等級則多3D10HP上限。
單獨行動（ABCDE）	因主物質位面魔力充裕，此技能可以視為影響甚微。從者的存於主物質位面並不需要仰賴MASTER的提供魔力。
氣息遮斷（ABCDE）	獲得躲藏等級一與潛行等級一，該職階技能每多一階級躲藏與潛行加一技能等級。
陣地製作（ABCDE）	能夠建立對自己有利的陣地，每多一技能等級在該陣地內我方所有的判定追加5成功率。陣地大小於E時大小為625平方英尺，邊長為25英尺之正方形，每多一階級則多5英尺之邊長。
道具製作（ABCDE）	選擇製作專長表中的兩項難度2以下之專長，該職階技能每多一階級則選擇之專長多一技能等級。
狂化（ABCDE）
