1.1更動
項目	詳細變更
1	施法者等級修正為=本身環數×3＋（其他技能專長＋其他裝備所造成的變動值），此更動適用於各法術中
2	獎勵進戰CP修正為：當你進戰相關技能投資達10CP時送1d8HP＋1d4SP ，達30CP時獎勵2d8HP＋2d4SP，達70CP時送 3d8HP＋3d4SP，達150CP時送4d8HP＋4d4SP，達˙300CP時獎勵5d8HP＋5d4SP
3	獎勵法術CP修正為：當你法術相關技能投資達10CP時送1d8SP＋1d4HP ，達30CP時獎勵2d8SP＋2d4HP，達70CP時送 3d8SP＋3d4HP，達150CP時送4d8SP＋4d4HP，達˙300CP時獎勵5d8SP＋5d4HP
4	2.與3.更動中只要有符合，可以相互累算，即總獎勵=獎勵HP＋獎勵SP
5	利用CP來增加基礎HP與SP時不計入獎勵HP與SP
6	所有擲骰結果（包含技能檢定、攻擊、傷害）若有小數點，若大於等於0.5則一律進位。
1.2更動
1	新增3個基本超魔專長
2	新增充能球系統，同一種充能球全身能拿到上限為三顆，若超過會有毀壞魔法物品的可能，拿球方式可能有擊中敵人、被敵人擊中、近戰攻擊時觸發等等，取得機率都為50%。\n該魔法武器附有幾個該種充能球效果才能最多取得該種數量的充能球數。除擊中時立即處理，其餘皆是回合結束後才處理，充能球持續時間4輪。
3	裝備系統改動，增加詞綴上限（神器與次神器不再此限制）
4	新增特殊通貨，混沌石、崇高石、無效石
5	修正死靈專精的不死適應
6	新增各式裝備詞綴
7	使用特殊通貨的判定無法以CP重擲
8	裝備每級的加值檢定結果如下：91~100出＋3，61~90出＋2，1~60出＋1
1.2緊急更動	重新更正混沌石效果，修改詞綴機率
	補述：健壯技能的HP增加有做較為詳細的敘述，同時新增魔力擴展這項專長
1.2技能追加	新增學派等級4以上之技能、一般專長等級4以上技能
	目當觀察技能名單：燕返、快速射擊、施法職業法術位
1.2nerf
1	快速射擊難度不變，修正成為不可以與多重射擊做累算。
2	燕返修正為燕返檢定過後，需分別做三次武器使用檢定。
3	這次技能修正的補償為所有人拿5cp，若有技能nerf的人補償原技能難度×10cp
4	修正崇高石價值為4000金幣。
1.3buff
1	buff法術專精的專長
2	將武器使用公式計算中的魔法武器變動值增加為使用的魔法物品加值/2
