工作表	儲存格	公式
狩獵任務	J7	=C38
狩獵任務	L7	=C37
狩獵任務	N7	=C36
狩獵任務	H8	=C39*1.4
狩獵任務	J8	=C38+D38
狩獵任務	L8	=C37+D37
狩獵任務	N8	=C36+D36
狩獵任務	G10	=MAX(MIN(75+($F10-150)/3,100),0)
狩獵任務	H10	=$H$8*$G10/100+$H$8/2*(100-$G10)/100
狩獵任務	I10	=MAX(MIN(50+($F10-300)/3,100),0)
狩獵任務	K10	=MAX(MIN(50+($F10-450)/3,100),0)
狩獵任務	M10	=MAX(MIN(50+($F10-600)/4,100),0)
狩獵任務	G11	=MAX(MIN(75+($F11-150)/3,100),0)
狩獵任務	H11	=$H$8*$G11/100+$H$8/2*(100-$G11)/100
狩獵任務	I11	=MAX(MIN(50+($F11-300)/3,100),0)
狩獵任務	K11	=MAX(MIN(50+($F11-450)/3,100),0)
狩獵任務	M11	=MAX(MIN(50+($F11-600)/4,100),0)
狩獵任務	G12	=MAX(MIN(75+($F12-150)/3,100),0)
狩獵任務	H12	=$H$8*$G12/100+$H$8/2*(100-$G12)/100
狩獵任務	I12	=MAX(MIN(50+($F12-300)/3,100),0)
狩獵任務	K12	=MAX(MIN(50+($F12-450)/3,100),0)
狩獵任務	M12	=MAX(MIN(50+($F12-600)/4,100),0)
狩獵任務	G13	=MAX(MIN(75+($F13-150)/3,100),0)
狩獵任務	H13	=$H$8*$G13/100+$H$8/2*(100-$G13)/100
狩獵任務	I13	=MAX(MIN(50+($F13-300)/3,100),0)
狩獵任務	K13	=MAX(MIN(50+($F13-450)/3,100),0)
狩獵任務	M13	=MAX(MIN(50+($F13-600)/4,100),0)
狩獵任務	G14	=MAX(MIN(75+($F14-150)/3,100),0)
狩獵任務	H14	=$H$8*$G14/100+$H$8/2*(100-$G14)/100
狩獵任務	I14	=MAX(MIN(50+($F14-300)/3,100),0)
狩獵任務	K14	=MAX(MIN(50+($F14-450)/3,100),0)
狩獵任務	M14	=MAX(MIN(50+($F14-600)/4,100),0)
狩獵任務	G15	=MAX(MIN(75+($F15-150)/3,100),0)
狩獵任務	H15	=$H$8*$G15/100+$H$8/2*(100-$G15)/100
狩獵任務	I15	=MAX(MIN(50+($F15-300)/3,100),0)
狩獵任務	K15	=MAX(MIN(50+($F15-450)/3,100),0)
狩獵任務	M15	=MAX(MIN(50+($F15-600)/4,100),0)
狩獵任務	G16	=MAX(MIN(75+($F16-150)/3,100),0)
狩獵任務	H16	=$H$8*$G16/100+$H$8/2*(100-$G16)/100
狩獵任務	I16	=MAX(MIN(50+($F16-300)/3,100),0)
狩獵任務	J16	=$J$8*$I16/100+$J$7/2*(100-$I16)/100
狩獵任務	K16	=MAX(MIN(50+($F16-450)/3,100),0)
狩獵任務	M16	=MAX(MIN(50+($F16-600)/4,100),0)
狩獵任務	G17	=MAX(MIN(75+($F17-150)/3,100),0)
狩獵任務	H17	=$H$8*$G17/100+$H$8/2*(100-$G17)/100
狩獵任務	I17	=MAX(MIN(50+($F17-300)/3,100),0)
狩獵任務	J17	=$J$8*$I17/100+$J$7/2*(100-$I17)/100
狩獵任務	K17	=MAX(MIN(50+($F17-450)/3,100),0)
狩獵任務	M17	=MAX(MIN(50+($F17-600)/4,100),0)
狩獵任務	G18	=MAX(MIN(75+($F18-150)/3,100),0)
狩獵任務	H18	=$H$8*$G18/100+$H$8/2*(100-$G18)/100
狩獵任務	I18	=MAX(MIN(50+($F18-300)/3,100),0)
狩獵任務	J18	=$J$8*$I18/100+$J$7/2*(100-$I18)/100
狩獵任務	K18	=MAX(MIN(40+($F18-450)/3,100),0)
狩獵任務	M18	=MAX(MIN(50+($F18-600)/4,100),0)
狩獵任務	G19	=MAX(MIN(75+($F19-150)/3,100),0)
狩獵任務	H19	=$H$8*$G19/100+$H$8/2*(100-$G19)/100
狩獵任務	I19	=MAX(MIN(50+($F19-300)/3,100),0)
狩獵任務	J19	=$J$8*$I19/100+$J$7/2*(100-$I19)/100
狩獵任務	K19	=MAX(MIN(50+($F19-450)/3,100),0)
狩獵任務	M19	=MAX(MIN(50+($F19-600)/4,100),0)
狩獵任務	G20	=MAX(MIN(75+($F20-150)/3,100),0)
狩獵任務	H20	=$H$8*$G20/100+$H$8/2*(100-$G20)/100
狩獵任務	I20	=MAX(MIN(50+($F20-300)/3,100),0)
狩獵任務	J20	=$J$8*$I20/100+$J$7/2*(100-$I20)/100
狩獵任務	K20	=MAX(MIN(50+($F20-450)/3,100),0)
狩獵任務	M20	=MAX(MIN(50+($F20-600)/4,100),0)
狩獵任務	G21	=MAX(MIN(75+($F21-150)/3,100),0)
狩獵任務	H21	=$H$8*$G21/100+$H$8/2*(100-$G21)/100
狩獵任務	I21	=MAX(MIN(50+($F21-300)/3,100),0)
狩獵任務	J21	=$J$8*$I21/100+$J$7/2*(100-$I21)/100
狩獵任務	K21	=MAX(MIN(40+($F21-450)/3,100),0)
狩獵任務	L21	=$L$8*$K21/100+$L$7/2*(100-$K21)/100
狩獵任務	M21	=MAX(MIN(50+($F21-600)/3,100),0)
狩獵任務	G22	=MAX(MIN(75+($F22-150)/3,100),0)
狩獵任務	H22	=$H$8*$G22/100+$H$8/2*(100-$G22)/100
狩獵任務	I22	=MAX(MIN(50+($F22-300)/3,100),0)
狩獵任務	J22	=$J$8*$I22/100+$J$7/2*(100-$I22)/100
狩獵任務	K22	=MAX(MIN(40+($F22-450)/3,100),0)
狩獵任務	L22	=$L$8*$K22/100+$L$7/2*(100-$K22)/100
狩獵任務	M22	=MAX(MIN(50+($F22-600)/3,100),0)
狩獵任務	G23	=MAX(MIN(75+($F23-150)/3,100),0)
狩獵任務	H23	=$H$8*$G23/100+$H$8/2*(100-$G23)/100
