工作表	合併範圍
創角色須知	A7:B7
施法者創角須知	C1:I1
施法者創角須知	D2:I2
施法者創角須知	A14:B14
施法者創角須知	A15:B15
施法者創角須知	A16:B16
施法者創角須知	A17:B17
施法者創角須知	A18:B18
施法者創角須知	A19:B19
施法者創角須知	A20:B20
施法者創角須知	A21:B21
施法者創角須知	A22:B22
施法者創角須知	A23:B23
施法者創角須知	A24:B24
施法者創角須知	A25:B25
施法者創角須知	A26:B26
施法者創角須知	A27:B27
施法者創角須知	A29:B29
施法者創角須知	A30:B30
世界觀	C1:H5
大陸簡史	A2:C2
大陸簡史	A3:A4
大陸簡史	A5:A9
大陸簡史	A10:A15
大陸簡史	A16:A39
基本專長	A1:C1
基本專長	A2:C2
製作專長	A1:G1
製作專長	H1:M1
製作專長	A2:G2
製作專長	H2:M2
製作專長	E3:M3
製作專長	E4:M4
製作專長	E5:M5
製作專長	E6:M6
製作專長	E7:M7
製作專長	E8:M8
製作專長	E9:M9
製作專長	E10:M10
製作專長	E11:M11
製作專長	E12:M12
製作專長	E13:M13
製作專長	E14:M14
製作專長	E15:M15
製作專長	E16:M16
製作專長	E17:M17
製作專長	E18:M18
製作專長	E19:M19
製作專長	E20:M20
製作專長	E21:M21
製作專長	E22:M22
製作專長	E23:M23
製作專長	E24:M24
製作專長	E25:M25
製作專長	E26:M26
製作專長	E27:M27
製作專長	E28:M28
製作專長	E29:M29
製作專長	E30:M30
製作專長	E31:M31
製作專長	E32:M32
製作專長	E33:M33
製作專長	E34:M34
製作專長	E35:M35
製作專長	E36:M36
製作專長	E37:M37
製作專長	E38:M38
製作專長	E39:M39
製作專長	E40:M40
製作專長	E41:M41
製作專長	E42:M42
製作專長	E43:M43
製作專長	E44:M44
製作專長	E45:M45
製作專長	E46:M46
製作專長	E47:M47
製作專長	E48:M48
製作專長	E49:M49
製作專長	E50:M50
製作專長	E51:M51
製作專長	E52:M52
製作專長	E53:M53
製作專長	E54:M54
製作專長	E55:M55
超魔專長	A1:D1
傳奇專長	A1:C1
德魯伊結社	A1:X1
德魯伊結社	A2:X2
德魯伊結社	A3:L3
德魯伊結社	M3:X3
德魯伊結社	A4:L4
德魯伊結社	M4:X4
德魯伊結社	A5:L5
德魯伊結社	M5:X5
德魯伊結社	D6:L6
德魯伊結社	P6:X6
德魯伊結社	D7:L7
德魯伊結社	P7:X7
德魯伊結社	D8:L8
德魯伊結社	P8:X8
德魯伊結社	A9:A10
德魯伊結社	B9:B10
德魯伊結社	C9:C10
德魯伊結社	D9:L10
德魯伊結社	P9:X9
德魯伊結社	P10:X10
德魯伊結社	A11:A12
德魯伊結社	B11:B12
德魯伊結社	C11:C12
德魯伊結社	D11:D12
德魯伊結社	E11:L12
德魯伊結社	M11:X11
德魯伊結社	M12:X12
德魯伊結社	E13:L13
德魯伊結社	M13:X13
德魯伊結社	E14:L14
德魯伊結社	P14:X14
德魯伊結社	E15:L15
德魯伊結社	P15:X15
德魯伊結社	E16:L16
德魯伊結社	P16:X16
德魯伊結社	E17:L17
德魯伊結社	P17:X17
