傳奇技能前置：傳奇技能大致能區分為法術相關與進戰相關，在點此技能表前須先與開團的ＤＭ告知與商討。\n前者法術相關的前置為在不依賴基本超魔專長、特殊魔法物品與特殊專長能發動９環法術，並投資法術相關技能達６００ＣＰ以上。\n後者近戰相關則是需主要近戰攻擊手段的成功上限達２００以上，並投資近戰相關技能達６００ＣＰ以上。\n注：在完成或是觸發特殊劇情時，ＤＭ可考慮讓玩家承受恆久的特定負面狀態在玩家無法達到傳奇技能前置，仍舊使其獲得傳奇技能。\n注：傳奇難度需消耗傳奇技能點，一點傳奇技能點需消耗１０點ＣＰ兌換。
名稱	難度	效果
傳奇偏轉	6（戰鬥）	每多一等級多10%成功率，能偏轉無限次遠程攻擊，每多一等級能多偏轉2環射線型法術。
傳奇魔力擴張	6（感知）	每多一等級加30點SP，再RES＋2。
傳奇健壯	6（戰鬥/運動）	每多一等級加30點HP，再CON ＋2。
傳奇劍技（災厄黑刃）\n（次元斷）	6（戰鬥）	一道巨大的黑暗，以次元空間形成的黑暗長劍劃破了空間出現在你面前。這把劍隨著你的意志飛向了你想要摧毀的敵人。\n你創造了一個 3 英尺長的黑色劍型次元裂縫。\n這把劍型次元裂縫的那一回合開始，就可以在法術範圍中攻擊任何你希望攻擊的生物。這把劍每一輪可以對一個目標發動一次近戰觸碰 攻擊，其攻擊加值等於你的基本攻擊加值＋你的STR加值。\n任何被毀滅魔劍命中的生物如果強韌檢定沒有通過則會被解離（每等級－20強韌），受到 3d6 點傷害÷每技能等級者等級，通過檢定則會受到 5d6 點傷害。\n毀滅魔劍可以穿越任何在他技能等級x4以下的魔法物品，但是它無法穿過魔法無效區域或是“防魔法力場”。毀滅魔劍也可以 像是力場效應般的傷害靈界生物以及虛體生物。\n每等級多10%成功率，每次攻擊消耗6SP。
化實為虛	6（知識）	每等級增加兩次每日使用次數，每使用一次不低於一環的幻術系法術回復一次使用次數。\n可以用一即時動作立即啟用，每等級追加50英尺爆發範圍，該範圍內的事物需要進行抗魔法檢定若失敗則被披覆一層幻術力場使其處在無法被觀察的狀態，所有處於無法被觀測的事物皆視為不存在於位面中。\n使用此技能玩家須要支付能造成此效果雷同的法術之SP消耗。\n若為暫時性消除魔法物品或是人，其所消失時間為自身施法者等級加上此技能等級之秒數。\n（抗魔法檢定為抗魔法－此技能等級×30）\n注：若要永久性些除魔法物品或是人類需要消耗對應CP。若暫時性消除魔法物品所消耗之SP為該魔法物品之加值。若暫時性消除人所消耗之SP為其身上所有魔法物品加值之總和。\n     前置為施法者不依賴外物獨自施展九環幻術系法術。
永恆的煉金符文	6（操作）	可以將此技能等級×3任意的詞綴放刻印在任意裝備的詞綴位置，並且被它所刻印魔法物品加值上升此技能等級。\n刻印的詞綴所消耗金錢為原價格÷3。\n使用該技能後，須將受到此技能增益的魔法物品加值減去原先魔法物品加值，此差值為使用此次技能需支付之CP。\n此技能能對非18加值魔法物品無限使用直至18加值。\n此技能僅能對達極限加值之魔法物品作用一次，作用此技能之魔法物品會被冠上永恆煉金之名。\n（注：低於18加值時，使用該技能僅會達到18極限加值，不會超出其上限。）\n（注：使用此技能可以只刻印詞綴而不增加魔法物品之加值）
幻影殺手	6（知識）	受到由自己發動幻術系法術效果所影響的對象，承受（施法者等級÷2＋此技能等級×2）×D6的心靈傷害。
幽影擴散	6（知識）	可以附加自己所使用的幻術法術附加元素擴散的效果，每多一技能等級可以多２種元素擴散效果。\n元素擴散的技能等級為此技能等級×3。\n若幻術作用的範圍內有人無法通過此次抗性檢定，則該幻術法術立即增加此技能等級×30英尺之半徑爆發範圍，同時繼續將此技能專長作用在此法術上。\n此技能重複觸發次數為此技能等級。
真理之門的智慧王冠	傳1（知識）	一日僅能使用一次， 在４秒內，自己所有檢定非劇情骰檢定都視為骰出1。\n使用一次該技能需消耗1cp。\n每多一技能等級此技能持續時間增加2秒。
時間扭曲－恆滯	傳1（知識）	一天僅能使用1次，可以紀錄下自身在特定時段的瞬間。\n可以用一即時動作立即啟用，將你現在的所有消耗、負面狀態回復成紀錄特定時段的瞬間。\n之後你計算所紀錄含有非常時狀態的增益效果，每多一個增益效果須扣除5SP。\n此技能無法重置傳奇技能的使用次數、CP的消耗與特殊技能的使用次數，如神權。\n每多一技能等級增加一次使用次數。
