確認起始配置	先確定DM給予的起始CP、魔法物品加值、補給物品、金錢。注：通常起始CP為200、250、300，DM以各團所期望之難度與強度來規劃。\n魔法物品起始加值常規為三件，依照起始CP可劃分：200CP為＋3、＋4、＋5，250CP為＋4、＋5、＋6，300CP為＋5、＋6、＋7。\n魔法物品起始加值、起始補給物品、金錢則依照DM以各團所期望之難度與強度或是個人自己撰寫之背景來進行增減。\n起始魔法物品為詞綴全空可由創角色者自行配置所需之詞綴。
構思腳色	構思角色背景、名字、外貌、種族（若有撰寫背景者則多給予50CP、繪畫其外貌者則多給予10CP，此由DM自行決定）\n若有選非人類之種族，則進行查表扣去其起始CP。
決定9大數值	擲9組4D6骰子來決定起始九大屬性數值，分別為STR（力量）、DEX（敏捷）、SKI（技巧）、CON（體質）、RES（抗力）、INT（智力：偏向IQ）、WIS（智慧：偏向EQ）、CHA（魅力）、SPI（精神）。\n13其屬性調整值為0，若其增加二或是減少二的範圍內則其調整值獲得＋1或是－1。注：7（－3）、8（－3）、9（－2）、10（－2）、11（－1）、12（－1）、13（0）、14（1）、15（1）、16（2）、17（2）、18（3）、19（3）\n將九大屬性調整整值進行加總，若總和超過10，則每多一扣去其10點起始CP；若低於10，則每少一增加其10點起始CP。\n注：起始4D6之隨機值，我個人是隨意玩家分配，同時可以重新骰任意次數（但可以由DM自行決定）
計算技能判定數值	將九大屬性數值與其各自調整值進行加總計算出戰鬥、運動、操作、感知、知識、交涉，六種主要各式技能判定之數值。\n注：戰鬥為DEX＋SKI＋STR，運動為DEX＋SKI＋CON，操作為INT＋SKI＋WIS，感知為INT＋RES＋SPI，知識為（INT＋WIS）×1.5，交涉為CHA＋WIS＋SPI。\n注：專長表中之各式技能主要依照這六種類別進行分類，若技能需要進行檢定則多半為基礎數值之分類加上技能表中之敘述。EX.若自身有將擅長鎧甲點至等級3，則進行戰鬥時減少物理傷害的擅長鎧甲檢定時，\n依照其敘述可得知檢定為戰鬥數值＋3×10。
計算抗性判定數值	將九大屬性數值與其各自調整值進行加總計算出抗毒素、抗控制、抗轉化、抗噴吐、抗魔法，五種主要抗性之判定數值。\n注：抗毒素為RES＋CON，抗控制為RES＋WIS，抗轉化為RES＋RES，抗噴吐為RES＋DEX，抗魔法為RES＋INT。
計算特殊判定數值	將九大屬性數值進行計算，來得出強韌、精神、靈魂，三種特殊判定之數值。（不計屬性調整值）\n注：強韌為CON×5，精神為RES×5，靈魂為SPI×5。

分配專長	查閱專長表，開始消耗CP來獲得或是提升技能等級。\n注：CP消耗公式為 2^（等級） ×技能難度 ，以難度1的技能為例 ：等級一 （2）、等級二（4）、等級三（8）、等級四（16）、等級五（32）。假設一位玩家將武器使用（長劍，難度1）學習到等級3，則消耗（2＋4＋8）×1=14點CP\n較特別的是等級0 可藉由只學習等級0來避免需要該技能判定時的20%減值，計算方式同上方公式所寫。\n除一開始之創角外，在跑團中幾乎所有的新技能學習或是提升技能等級都是必須消耗時間、金錢（花錢找老師）、CP，麻煩各自角色要妥善利用幕間時間。
計算獎勵HP/SP	開始計算獎勵HP與獎勵SP，並將其計算入基礎HP與SP\n注：獎勵進戰CP為：當你進戰相關技能投資達10CP時送1d8HP＋1d4SP ，達30CP時獎勵2d8HP＋2d4SP，達70CP時送 3d8HP＋3d4SP，達150CP時送4d8HP＋4d4SP，達300CP時獎勵5d8HP＋5d4SP，達620CP時獎勵6d8HP＋5d4SP  達1020CP時獎勵7d8HP＋6d4SP \n        獎勵法術CP修正為：當你法術相關技能投資達10CP時送1d8SP＋1d4HP ，達30CP時獎勵2d8SP＋2d4HP，達70CP時送 3d8SP＋3d4HP，達150CP時送4d8SP＋4d4HP，達300CP時獎勵5d8SP＋5d4HP，達620CP時獎勵6d8SP＋5d4HP\n        EX.你起始創角消耗在進戰相關之CP達250CP，法術相關之CP達30CP，則獎勵總骰為4d8HP＋4d4SP（進戰）＋2d8SP＋2d4HP（法術），若你日後跑團中持續投資近戰相關之技能到了320CP，則能多丟獎勵1d8HP＋1d4SP。
配置額外HP/SP	轉換方式為在基礎HP的兩倍內為1點CP換1點HP，兩倍到三倍內為2點CP換1點HP，三倍到四倍內為3點CP換一點HP，依此類推。\n在基礎SP的兩倍內為1點CP換1點SP，兩倍到三倍內為2點CP換1點SP，三倍到四倍內為3點CP換一點SP，依此類推。\n   EX.當前基礎HP為30，則30~60HP內為1點CP換1點HP，60~90HP為2點CP換1點HP，90~120HP為3點CP換一點HP。\n   注：基礎HP=CON＋CON調整值＋獎勵進戰CP＋獎勵法術CP＋專長表之技能＋魔法物品之詞綴 / 基礎SP=RES＋RES調整值＋獎勵進戰CP＋獎勵法術CP＋專長表之技能＋魔法物品之詞綴
其他	在跑團過程中，一點CP可以做為除卻劇情骰、寶藏骰以外的一次重骰機會。

等級	CP總數(施法或者近戰)
1	2
2	4
3	14
4	24
5	26
6	28
7	44
8	60
9	92
10	124
11	188
12	252
13	380
14	508
15	764
16	1020
17	1532
18	2044
19
20
