					確認角色依照順序依序偷襲	具有偷襲輪的角色可與團隊商談後決定順序。
					確認行動順序	行動順序為角色之DEX加上其調整值，此為該輪中每位角色實際的行動順序，DEX值越高則行動順序之順位越高。\n假使有複數人之DEX數值相同時，則有精通先攻之專長者具有優先之順位，若皆無此專長則雙方進行骰D100確認優先順位，後者每輪都必須重新確認誰具有較高的優先權。\n注：行動順序可以於每輪開始前透過先告知DM進行降速來延後行動順序。
					確認宣告順序	宣告順序為角色之INT加上其調整值，此為該輪中每位角色實際的宣告順序，INT值越高則宣告之順序後越往後排。\n假使有複數人之INT數值相同時，則雙方進行骰D100確認宣告之順位，每輪都必須重新確認誰具有較晚之宣告權。\n注：可以透過向DM宣告下回合自己角色要最快行動，同時放棄此輪之行動，將下一輪自身之行動順序提升之最快。\n     若同時有複數玩家進行此宣告，以DEX加上其調整值高低來決定優先順序；\n     若DEX數值相同時，則有精通先攻之專長者具有優先之順位，若皆無此專長則雙方進行骰D100確認優先順序。
					角色依序宣告	依照需告順序讓玩家完成該輪之行動宣告。\n注：為增加遊戲之臨場感與減少戰鬥消耗之時間，每位較熟練之玩家每次宣告時間僅有1分鐘，倘若玩家逾時則視為放棄該回合之宣告。\nDM需確認每位玩家之宣告合理性，倘若完全違背常理，則可以適當進行勸阻或視為宣告無效，也可增加該行動之判定難度。\n當回合宣告施法之玩家須確認該法術導入幾種超魔專長並確認其當下法術位是否足夠。\n動作共劃分為以下三種。
						一般動作	一般動作需要消耗整輪行動來進行。\ne.g.：一般施放法術、全回合移動、一般遠程攻擊、觀察法術、解析法術、急救、從背包中找特定物品、潛行、謹慎移動、一般近戰攻擊（需要半速）等DM認定需消耗一輪之動作。\n註：全回合移動可以輔助在跳躍、攀爬、特技動作或是一般近戰攻擊，來進行助跑
						自由動作	自由動作一輪中通常能執行兩次，但兩者不得相互矛盾。\ne.g.：警戒半速移動、從霍法便利袋中取出特定物品、喝下藥水、啟動魔法物品、抽出武器、使用卷軸、翻滾、跳躍、攀爬、特技動作，等DM認定之自由動作。\n註：DM需確認玩家當前之雙手與姿勢等狀態來確認行動是否能執行
						即時動作	即時動作可以在自己回合時，在角色依移動瞬序行動此階段後任意時點啟動，但不得與當前姿勢、狀態形成矛盾，一種即時動作一輪僅能使用一次。\ne.g.：即刻備戰、瞬步等各式特殊專長。
					依INT順序處理法術瞬唱效果	若玩家有宣告法術瞬唱，則可以此階段生效。\n若有複數玩家同時宣告法術瞬唱，則依照INT高低來排序，INT越高者法術越快出來\n若INT相同則進行骰D100確認優先順序。
					角色依移動順序行動	依照行動順序，讓玩家執行其宣告之內容。
					宣告新行動	若玩家想更改原先之宣告時，可以進行運動判定，若判定成功則執行更改之宣告，失敗則當回合放棄原先之宣告內容。
					進行行動	玩家依照宣告之行動來執行動作，並進行相關檢定。 \n注：每輪角色實際行動時間皆只有一秒鐘。
