	數值調正	特殊專長	技能調整值	CP調整	特殊
精靈	DEX＋2、CON－1 \n對附魔系法術＋5抗控	一級昏暗視覺\n（在昏暗情況下視力為人類2倍）\n一級精靈語	聆聽、搜索、偵察\n＋5檢定	-30
半精靈	對附魔系法術＋5抗控	一級昏暗視覺\n（在昏暗情況下視力為人類2倍）\n一級精靈語	進行聆聽、搜索、偵查有＋5種族加值\n進行交涉有＋10種族加值	－25
卓爾	DEX＋2、CON－2、CHA＋2	一級黑暗視力\n（黑暗中可視視力為120英尺）\n一級煉獄語	一日一次舞光術、黑暗術、妖火術\n（此法術視為施法者等級3）	－45	光照致盲：黑暗精靈突然暴露在光明（如陽光或日光術daylights）下會失明一輪。\n接下來，只要在光照下，他在攻擊投骰，豁免，以及其他檢定上都要受－5環境減值。
矮人	CON＋2、CHA－2\n對抗毒檢定＋10加值	一級熟悉岩石\n一級下盤鞏固\n一級矮人語		－35	熟悉岩石：對於岩石相關的估價、搜索、手藝有＋10加值。\n下盤鞏固：在地面遭受衝撞、摔拌進行閃避檢定時有＋10加值。
半身人	DEX＋2、STR－2	一級災禍躲避\n一級矮人語或侏儒語或地精語	進行聆聽、攀爬、跳躍、潛行\n有＋5種族加值	－35	災禍躲避：抗噴吐、抗控制、抗毒素＋5加值
半獸人	STR＋2、INT－2、CHA－2	一級黑暗視覺\n（在黑暗中的勢力範圍是60英尺）\n一級獸人語		－15	獸人血統：所有種族相關的效應，半獸人皆為獸人。
侏儒	INT＋2	昏暗視覺\n一級侏儒語	閃避＋20\n聆聽＋10	－30	每日一次 舞光術 幻音術 魔法技倆 （耗SP）\n每日一次動物交談（耗SP）
提夫林	INT＋1、CHA＋1	黑暗視覺\n一級煉獄語	火炕＋5	－35	每日一次 黑暗術（耗SP）\n每日一次地獄懲戒（耗SP）\n（此法術是為施法者等級3）
龍裔	STR＋2、CHA＋1	一級噴吐武器\n一級龍語	傷害抵抗＋10\n（根據你選擇的龍族血脈來決定）	－60	當你使用噴吐武器後，需經過短休息或常休息回復1次使用次數。\n龍族血脈（五色龍、金屬龍中擇一）\n噴吐武器：依據血脈的不同進行線形或錐狀的噴吐，並決定傷害的類型。\n對沒有過對抗的敵方造成每等級2D6傷害，使用次數為此技能等級。
吸血鬼（該隱一族）	CHA＋1\n起始生命加CON調整數D12	一級吸血\n一級魔眼支配\n一級轉變型態\n氣體型態\n該隱血脈改造	冰抗＋ 5\n電抗＋5\n蛛行	－85	一級吸血：只要成功擒抱住對手，吸血鬼便可以用獠牙從活物身上吮吸血液，\n只要它壓制住對手，它便可以開始吸血，這會每輪造成1d4點體質吸取，\n每一次吸血攻擊成功，吸血鬼都可以得到5點臨時生命值。\n\n一級魔眼支配：通過看著對手的眼睛來擊垮對手的意志，\n這類似於凝視攻擊，不過吸血鬼必須使用一個標準動作，\n只是草草看一眼並不能發揮作用，\n任何目標必須通過一個抗控制豁免檢定（'抗控制－（此技能等級＋CHA調整值）×5，\n失敗則影響一般落入吸血鬼的控制．此能力作用範圍20＋此技能等級×10英尺。\n\n一級轉變型態：以一個標準動作，吸血鬼可以變成蝙蝠，兇暴蝙蝠，狼或兇暴形態．\n當處在轉變形態時，吸血鬼將失去揮擊攻擊和支配能力，\n但它將得到新形態所提供的天生武器和特殊攻擊．\n它將保留在該形態知道變成一個新的形態或下一次日出。\n氣體型態：以一個標準動作，吸血鬼可以任意轉變為氣態形體，\n效果如同同名法術，但其可以一直保持氣態形體並獲得20英尺飛行速度，機動性完美。\n該隱血脈改造：你不受吸血鬼種族的負面詛咒引響。
神魔裔\n（潘神之子）	CHA＋2	一級黑暗視覺\n（在黑暗中的視力範圍是60英尺）\n一級喚醒心靈\n一級扭曲心靈	抗控制＋10	－70	一級喚醒心靈：你的異界知識賦予了你接觸其他生物心靈的能力。\n你可以和此技能等級×15英尺內並處於你視線范圍中的生物通過心靈感應的方式交談。\n你不必須要和該生物會同樣的語言才能使其理解你通過心靈感應所傳達的話語，但它至少要可以理解一種語言。\n一級扭曲心靈：當你被作為附魔系法術為目標或是對抗抗心靈法數時，檢定時或得此技能等級×15之加值。
神魔裔\n（烏波=薩斯拉的禁忌之子）	CON+1、CHA+1	受到物理傷害半減\n受到火焰傷害 1.5 倍\n自由呼吸\n黏菌性質1級\n蛛行	抗轉化+10	-130	黏菌性質:可將軀體的一部份在以自身為中心爆發此技能等級*10尺的範圍內，\n若因外部因素或自身效果造成自我分離，可以依據分離的軀體重量，在一定的輪數內黏回本體。\n(輪數需求為[分離總重量/5kg(該值無條件進位)]-此技能等級)\n在軀體分離的輪數內，自身的運動檢定、戰鬥檢定承受[分離總重量/5kg(該值無條件進位)]*10的減值
 原初-星之幼體	CON+1、RES+1、CHA+1	受到物理傷害半減\n初始的神化\n不屈意志1級	抗毒素+5\n抗控制+5\n抗轉化+5\n抗噴吐+5\n抗魔法+5	劇情取得	初始的神化:你不受除了賜予你血脈的神性正面神術效果影響，但仍需承受其他神術的負面效果影響。\n每日能將RES調整值次數的法術或類法術效果視為神術。\n一日7次，當你承受負面的神術效果或承受傷害時，你進行一次羽化檢定。
