製作基本							製作相關時間
製作消耗型的物品或非永久性的增加屬性之物品，僅需消耗時間與金錢。（有限許願術、許願術、神蹟術等需消耗自身CP的法術除外）\n製作永久型魔法物品需消費CP、時間、金錢，每多一加值需多卡自身1CP，若魔法物品永久性損毀則會解放無法使用的CP。（奇物或是特殊物品則對應價格表換算成對應的魔法物品加值價格）\n進行魔法物品的加值附魔及附魔拔除則需消耗時間與金錢。\n\n ●  ** 表示此專長能藉由「賢者之觸」詞墜提升等級							1. 藥水:1日1瓶\n2. 卷軸:1環1天、2環2天、3環3天，以此類推\n3. 詞綴賦予:1條詞綴1天\n4. 素材詞綴賦予: 賦予的魔法物品的加值*1.2 日\n5. 符文刻劃:1小時\n6. 魔法陣學:1環1天、2環2天、3環3天，以此類推\n7. 魔法物品製作: 每一加值1天
專長	分類	難度	前置技能	說明
調製藥水**	操作	2		你可以將已知的法術製成藥水，此技能等級×1.5為調製藥水的環術上限，而且必須以生物為目標。\n可以製作 技能等級×1.5 D8以下的治療藥水 或 技能等級×1.5 D6以下的回魔藥水\n調製藥水需要一天的時間。調製藥水時必須設定施法者等級。此施法者等級必須足以施展該法術，而且不可高於你本身的職業等級。\n製造藥水時的選擇與施法時完全相同。喝下藥水的生物即為受術者。\n除基本價格外，如果藥水中的法術帶有昂貴的材料成分或需消耗CP，則製造時仍須額外支付這些花費。\n成本花費為原價錢 ÷（每等級＋1）。
醫療強化	 操作	1	調製藥水	你能強化所製造之治療藥水或是回魔藥水效果。每多一等級治療藥水多1D8＋2，回魔藥水多1D6＋2之藥水效果。\n售價為原價位×2.5，最高至450金幣。
藥水轉藥錠	操作	2	調製藥水	將此技能等級×2為你能進行調製藥水環術、D6回魔或D8回血上限之藥水轉成藥錠形式。\n售價為原價位×1.5。
雙重回復	操作	2	調製藥水	你能製造同時回復血量與SP的藥水，每多一技能多2D8血量與2D6 SP的雙重回復水。\n價格為（回魔水＋治療藥水）×1.5，成本花費為原價錢 ÷（每等級＋1）。\n雙重回復四級時可以套用至完全回復。
複合藥水調製	操作	3	調製藥水4級	你能將兩種不同的藥水進行複合調製。（雙重回復不包含於此）\n此技能等級×2為你能進行複合調製藥水環術、D6回魔、D8回血的上限或是低於此技能所耗CP之藥水相關製作專長效果。\n價格為兩種藥水價格相加後×2。\n若將持續時間不同之藥水調製，則合成後的持續時間為兩瓶藥水的持續時間相加後 / 2。
完全回復	 操作	3	調製藥水4級	你能製造完全將 HP 或 SP完全回復之藥水。\n成本花費為原價錢 ÷（每等級＋1）。
完全解狀態水	操作	3	調製藥水4級	你能製造完全解除負面狀態的藥水。\n成本花費為原價錢 ÷（每等級＋1）。
水銀藥劑	操作	1	調製藥水	你能製造短暫提供移動速度的藥水。\n每多一技能多提供10尺的移動速度。\n此藥水效果維持輪數為(此技能等級+藥水調製等級)×2。
藍玉藥水	操作	1	調製藥水	你能製造短暫提供元素抗性的藥水。\n每多一技能多提供15點冰冷抗性。\n每多一技能等級，在承受冰冷傷害前可以多吸收10點冰冷傷害。\n此藥水效果維持輪數為(此技能等級+藥水調製等級)×2。
紅玉藥水	操作	1	調製藥水	你能製造短暫提供元素抗性的藥水。\n每多一技能多提供15點火焰抗性。\n每多一技能等級，在承受火焰傷害前可以多吸收10點火焰傷害。\n此藥水效果維持輪數為(此技能等級+藥水調製等級)×2。
