一個法術可以累算複數的超魔專長，但多累算一種則需要多耗一點SP（部分除外），且會多占據一個法術格。\n超魔專長只能搭配施法者本身施展出來的法術，不能搭配由法杖、卷軸或其他裝置發出的法術，且每種專長僅可以做一次累算。
基本超魔專長	分類	難度	效果
法術強效	知識	2	技能等級×1.5為此專長所能增幅到的法術環數。\n搭配此專長時，法術的所有可變數值皆增加1/2，包括：造成比原本多1/2 的傷害、治療多1/2 的生命值、多影響1/2 數量的目標等。舉例而言，強化過的「魔法飛彈」傷害值是原本的1.5 倍。
法術增遠	知識	1	技能等級×1.5為此專長所能增幅到的法術環數。\n本專長可將近距、中距與遠距法術的距離加倍。\n本專長對於與距離無關，或不屬於近距、中距、遠距的法術沒有效果。
法術延時	知識	1	技能等級×1.5為此專長所能增幅到的法術環數。\n搭配此專長的法術持續時間加倍。持續時間為專注、立即或永久的法術不受本專長影響。
法術極效	知識	3	技能等級×1.5為此專長所能增幅到的法術環數。\n搭配本專長時，法術效果中所有變數皆以最大值計算，包括：傷害值、治療生命值、影響目標數量等。\n例如，配合法術極效的「火球術」造成的傷害值為6x 施法者等級（施法者等級10 則為60 點）。\n豁免檢定和對抗擲骰不受影響（如：「解除魔法」的檢定）。法術若無變動數值則無影響。\n配合「法術強化」和「法術極效」的法術，可分別獲得兩個專長的效果，也就是將擲骰結果的最大值加上正常擲骰結果的1/2。\n一個10級法師施展的「強化極效火球術」將造成60＋10d6/2 的傷害值。
法術瞬唱	知識	3	前置為法術默發、法術靜發，技能等級×1.5為此專長所能增幅到的法術環數，且其技能等級須同時小於等於法術默發、法術靜發。搭配本專長的施法為即時動作。需耗3SP\n同一輪中你可以進行另一個動作，甚至施展另一個法術。\n每輪只能施展一個瞬發法術。瞬發的法術須佔用高於原本3個等級的法術欄位。施展瞬發法術不會引發借機攻擊。
法術默發	知識	1	技能等級×1.5為此專長所能增幅到的法術環數。搭配此專長的法術不須言語成分即可施法。原本就不需言語成分的法術不受影響。
法術靜發	知識	1	技能等級×1.5為此專長所能增幅到的法術環數。搭配此專長的法術不須姿勢成分即可施法。原本就不需姿勢成分的法術不受影響。
法術升階	知識	2	每提升1個技能等級，可以將搭配此專長的法術多追加1個施法者等級。\n法術效果中所有與法術等級有關的變數（如：法術豁免檢定或穿透「次級法術無效結界」的能力）都以升階後的法術等級計算。
法術擴展	知識	1	技能等級×1.5為此專長所能增幅到的法術環數。\n你可增加爆發、彌漫、直線或擴散型的法術影響區域。法術的所有數值加倍。舉例而言，被擴寬的「火球術」（正常為半徑20 英尺的擴散範圍）有半徑40 英尺的擴散範圍。
法術射線	知識	1	技能等級×1.5為此專長所能增幅到的法術環數。本專長可將接觸型法術轉成射線型法術，但對於非接觸型法術則無效。技能等級×15英尺為其射線的最遠距離。
元素轉換	知識	1	 技能等級×1.5為此專長所能增幅到的法術環數。此技能有複數子項（轉冰，轉火， 轉暗蝕， 轉光耀 ....），可以將技能適用的法術全數轉成特定屬性（僅能轉傷害）
元素擴散	知識	2	技能等級×1.5為此專長所能增幅到的法術環數。此技能有複數子項（冰擴散、火擴散、暗蝕擴散、聲波擴散、光耀擴散等等），可以將技能適用的法術附加下述效果，同時傷害骰會降一個層級\n（如d6下降成d4，d8下降成d6）\n冰霜擴散：法術擊中後，敵方做抗魔法檢定時減去此技能等級×20，若檢定失敗則移動格數減去此技能等級\n                  法術擊中後，敵方做抗魔法檢定時減去此技能等級×20，若檢定失敗則在此技能等級輪數內，承受此技能等級×5冰抗減值\n火焰擴散：法術擊中後，敵方做抗魔法檢定時減去此技能等級×20，若檢定失敗則此承受每輪技能等級d6火焰傷害，若鄰近格有人則此效果及以下效果擴散\n                  法術擊中後，敵方做抗魔法檢定時減去此技能等級×20，若檢定失敗則在此技能等級輪數內，承受此技能等級×5火抗減值\n暗蝕擴散：法術擊中後，敵方做抗魔法檢定時減去此技能等級×20，若檢定失敗則CON減去此技能等級\n                  法術擊中後，敵方做抗魔法檢定時減去此技能等級×20，若檢定失敗則在此技能等級輪數內，承受此技能等級×2暗抗減值\n聲波擴散：法術擊中後，敵方做抗魔法檢定時減去此技能等級×20，若檢定失敗則震懾此技能等的輪數\n                  法術擊中後，敵方做抗魔法檢定時減去此技能等級×20，若檢定失敗則在此技能等級輪數內，承受此技能等級×1物抗減值\n光耀擴散：法術擊中後，敵方做抗魔法檢定時減去此技能等級×20，若檢定失敗則目盲此技能等級的輪數\n                  法術擊中後，敵方做抗魔法檢定時減去此技能等級×20，若檢定失敗則在此技能等級輪數內，承受此技能等級×2光抗減值\n電擊擴散：法術擊中後，敵方做抗魔法檢定時減去此技能等級×20，若檢定失敗則麻痺此技能等級的輪數\n                  法術擊中後，敵方做抗魔法檢定時減去此技能等級×20，若檢定失敗則在此技能等級輪數內，承受此技能等級×5電抗減值
聯合施法	知識	1	進行聯合施法的施法者須兩位皆具有此項技能，雙方的施法檢定有此技能等級×10的加值，同時施法者等級追加此技能等級。（需為同一回合，同一順序施法）
融合施法	知識	3	前置為聯合施法，技能等級×2為此專長所能增幅到的法術環數。雙方皆須進行此技能檢定，檢定為知識＋此技能等級×20－各自施法的環數×10。將二者的法術進行複合。
跨環施法	知識	4	每多一技能等級，增加一環的施法能力。此技能需小於自身施法者環數。
法術疊發	知識	4	技能等級×1.5為此專長所能增幅到的法術環數。你能對不同施法職的同樣法術進行疊算施放。\n該次施放法術需要分別對不同職業的同一法術進行施放，若有一次施放失敗則該次施法自動失敗。\n該次法術的SP與法術格消耗量為(原先法術的SP或法術格)*疊算的施法職業數量。\n該次的法術效果為總施法者等級，但法術效果最多為原始效果*施法職業數量。
法術快速施放	知識	3	技能等級×1.5為此專長所能增幅到的法術環數。快速施放的法術須佔用高於原本3個等級的法術欄位。你的此次施法動作變成及時動作。需耗3SP
