名稱	分類	難度	前置	效果
不滅意志	感知	5	不屈意志	每等級你的抗噴吐、抗毒素、抗轉化、抗控制、強韌、靈魂、精神有＋10加值。
跨網施法	知識	5	施法環數達四環以上	技能等級×2為此專長所能增幅到的法術環數。\n在無魔網覆蓋的區域或是不利於施放法術的位面區域，一樣能正常進行法術施放且不承受位面環境減值。
法術自動瞬唱	知識	5	法術瞬唱	技能等級×2為此專長所能增幅到的法術環數。\n你每一回合時可多進行一次法術瞬唱。
血月的呼喊	交涉	5		用一個標準動作，在100英尺＋技能10英尺爆發，在範圍之內，交涉＋20，STR、DEX、SKI＋2，該血月維持時間為技能×3秒。
沼澤人儀式	交涉	2	綁定血脈:神魔裔	宿主儀式:\n儀式執行者須位於以宿主為中心的此技能等級*10英里的範圍內，能夠寄生自己身體的一小部分或是孢子到類人形生體內，此儀式需維持一小時的專注時間。\n宿主儀式開始前，須先取得宿主一部分生物組織作為儀式材料。\n宿主被植入孢子後，每日需進行一次抗轉化-此技能等級*10的檢定，若連續10日抗轉化檢定成功則該寄生組織會失去活性。\n若檢定失敗則，軀體會有此技能等級*0.5平方吋的範圍轉化為孢子咒痕。\n可以通過手術檢定剝除孢子咒痕，檢定難度為操作+相關醫術技能等級-此技能等級*20\n當孢子咒痕大於該宿主的眼睛大小時，可以進行外貌轉化儀式(或記憶奪取儀式)。\n(記憶奪取儀式:\n此儀式開始前，須先取得宿主一部分生物組織作為儀式材料，此儀式需維持一小時的專注時間，且儀式執行者須位於以宿主為中心的此技能等級*10英里的範圍內。\n儀式過程須將自身的單眼與孢子咒痕大小為宿主眼睛的區塊互換，且須與宿主的眼睛對視。\n宿主進行一次靈魂-此技能等級*15的檢定，若成功則宿主一部分生物組織會消失。\n若成功可以獲得宿主此技能等級小時數的記憶。)\n外貌轉化儀式:\n此儀式開始前，須先取得宿主一部分生物組織作為儀式材料，此儀式需維持一小時的專注時間，且儀式執行者須位於以宿主為中心的此技能等級*10英里的範圍內。\n此儀式過程中，孢子咒痕大小需大於宿主的眼睛大小。\n宿主進行一次強韌-此技能等級*15的檢定，若成功則宿主一部分生物組織會消失。\n若成功可以獲得宿主的外貌特徵。\n倘若宿主的一部分生物組織消失則宿主儀式、記憶奪取儀式、外貌轉化儀式會自動無效化。
星辰大樂章(序幕)-初啼	知識、\n感知或交涉	3	神語1級\n同時具備奧術、神術\n及自然/詩歌施法能力\n(且環數不低於2環)	在僅僅的剎那間，瞥見了不知道是遠古的遠古亦或是未來的未來，那是璀璨永恆的星空，彷彿畫布中間矗立的男人身上所穿的長袍，和諧且寧靜。直至初啼響聲劃破寧靜，奏響悠長連綿的大樂章，而那份大樂章彷彿是對第一音誕生的禮頌。\n每日使用次數等同技能等級，每輪消耗已持續回合數*5sp，效果持續至大樂章中止。\n當使用此專長時，你必須專注、集中精神每回合進行一次序幕演奏的判定。(序幕演奏=你選定此技能的種類+此技能等級*10+SPI調整值*5-所消耗SP總數)\n當序幕持續演奏時，以你自身為中心的施法者等級*半徑5尺的爆發範圍內，每輪所有造物回復(自身施法者等級總合/3+此技能等級)*D8HP與(自身施法者等級總合/3+此技能等級)*D6SP。\n當你要往第二幕演奏時，需進行一次升幕演奏檢定。(升幕演奏檢定=你選定此技能的種類+此技能等級*10+SPI調整值*5-序幕演奏的回合數*20)\n當序幕演奏或升幕演奏檢定失敗時需承受1D4 SPI傷害。(可經由長休息回復)
星辰大樂章(第二幕)-深空	知識、\n感知或交涉	3	星辰大樂章(序幕)-初啼\n神語1級\n同時具備奧術、神術\n及自然/詩歌施法能力\n(且環數不低於2環)	此技能使用須從星辰大樂章(序幕)-初啼的升幕檢定成功後，才能使用。\n每日使用次數等同技能等級，每輪消耗已持續回合數*5sp，效果持續至大樂章中止。\n當使用此專長時，你必須專注、集中精神每回合進行一次第二幕演奏的判定。(第二幕演奏=你選定此技能的種類+此技能等級*10+SPI調整值*5-所消耗SP總數)\n當第二幕持續演奏時，以你自身為中心的施法者等級*半徑30尺的爆發範圍內，範圍內所有的造物轉移至星空中。\n當轉移至星空的當下，你可以在此技能覆蓋的範圍內將造物的位置任意選擇，且在該範圍內原先對於非自身的魔法效果會完全清空。\n當你要往第二幕演奏時，需進行一次升幕演奏檢定。(升幕演奏檢定=你選定此技能的種類+此技能等級*10+SPI調整值*5-第二幕演奏的回合數*20)\n當第二幕演奏或升幕演奏檢定失敗時需承受1D6 SPI傷害。(可經由長休息回復)\n當你演奏第二幕的過程中，第一幕的效果會持續保留。
星辰大樂章(第三幕)-晶壁	知識、\n感知或交涉	4	星辰大樂章(第二幕)-深空\n神語2級\n同時具備奧術、神術\n及自然/詩歌施法能力\n(且環數不低於3環)	此技能使用須從星辰大樂章(第二幕)-深空的升幕檢定成功後，才能使用。\n每日使用次數等同技能等級，每輪消耗已持續回合數*10sp，效果持續至大樂章中止。\n當使用此專長時，你必須專注、集中精神每回合進行一次第三幕演奏的判定。(第三幕演奏=你選定此技能的種類+此技能等級*10+SPI調整值*5-所消耗SP總數)\n當序幕持續演奏時，以你自身為中心的施法者等級*半徑5尺的爆發範圍內，範圍內你選定的造物獲得此技能等級*15的對所有傷害抗性。\n此外，你在第三幕演奏時，每輪能將此技能等級+施法者等級/3的任意數量目標進行一次靈魂檢定，若失敗則放逐出星空此技能輪數。(靈魂檢定=靈魂-此技能等級*20-SPI調整值-總施法者等級*2)\n當你要往第四幕演奏時，需進行一次升幕演奏檢定。(升幕演奏檢定=你選定此技能的種類+此技能等級*10+SPI調整值*5-第三幕演奏的回合數*20)\n當第三幕演奏或升幕演奏檢定失敗時需承受1D8 SPI傷害。(可經由長休息回復)\n當你演奏第三幕的過程中，序幕、第一幕與第二幕的效果會持續保留。
星辰大樂章(第四幕)-繁星	知識、\n感知或交涉	4	星辰大樂章(第三幕)-晶壁\n神語2級\n同時具備奧術、神術\n及自然/詩歌施法能力\n(且環數不低於3環)	此技能使用須從星辰大樂章(第三幕)-晶壁的升幕檢定成功後，才能使用。\n當你要往第五幕演奏時，需進行一次升幕演奏檢定。(升幕演奏檢定=你選定此技能的種類+此技能等級*10+SPI調整值*5-第四幕演奏的回合數*20)\n當第四幕演奏的過程中，往後每2回合一次，以你自身為中心的施法者等級*半徑5尺的爆發範圍內，對非絕對中立對象造成總施法等級*d6力場傷害。\n當第四幕演奏或升幕演奏檢定失敗時需承受1D10 SPI傷害。(可經由長休息回復)\n當你演奏第三幕的過程中，序幕、第二幕級第三幕的效果會持續保留。
星辰大樂章(第五幕)-	知識、\n感知或交涉	5	星辰大樂章(第三幕)-繁星\n神語3級\n同時具備奧術、神術\n及自然/詩歌施法能力\n(且環數不低於4環)
