法術相關			藥水相關				魔法物品及詞綴相關							素材相關			基礎裝備
抄寫法術與卷軸:\n● 施法者職業可以透過支付金錢後，將法術抄錄至自己的法術書進行永久使用\n   ○ 若擁有學派專精，抄錄自身學派的法術時，所需時間和金錢減半\n● 當施法者習得抄錄卷軸技能後，可以花費時間及金錢製作卷軸\n\n研究法術 :\n● 參照下方表格消耗金幣、CP、時間後即可研發法術\n● 研究完成後，該法術直接記入記憶法術，並增加一個固定記憶法術格，該記憶法術格無法更換			一般藥水:\n● 藥水不論階級一日只能製造一瓶\n     ○ 醫療強化專長自動套用在藥水上，無需額外成本或時間\n●  藥錠的價格為藥水原價的 1.5 倍，效果如下：\n     ○ 單次服用藥錠數量為該專長等級 × 2 (至少2顆)\n● 可以參照卷軸價格購買法術藥水\n\n合併藥水 : \n● 可以花費（回血水 + 回魔水）× 1.5 倍的金幣購買雙重回復藥水\n● 可以購買合併型藥水（法術藥水、功能藥水、回血/回魔藥水任兩種效果合併），其價格為兩種藥水價格相加後 × 2				魔法物品 :\n● 當以等級購買魔法物品時，每等級可以以下機率執骰兌換 1 ~ 3 加值 \n    ○ 1－60：+1\n　○ 61－90：+2\n　○ 91－100：+3\n● 魔法物品分為：主要裝備（頭環、鎧甲、手套、鞋子）、武器、飾品（項鍊、戒指、腰帶、手環、披風）、特殊奇物、法杖（含權杖、魔杖、長杖）\n\n詞綴賦予須遵守以下規則 (神器及特殊魔法物品不在此限):\n● 單一魔法物品最多 6 條詞綴、飾品最多 4 條\n● 同一魔法物品上的詞綴不得重複\n● 詞綴加值合計必須小於魔法物品加值					● 崇高石 : 根據詞綴機率表在魔法武器上新增一條新的詞綴，同時提升該魔法物品的加值上限，若新增詞綴使得該魔法物品超過 +18 上限，則可任一條選詞綴填補至 +18\n● 無效石 :  只能作用在 +10 以下魔法物品，隨機消除魔法物品上的一條詞綴\n● 混沌石 : 混沌石之使用請參照 "詞綴(依物品分類)" 表單之說明		目前素材僅供出售，若要購買須符合以下資格\n    ● 各大公會成員A級以上(傭兵、吟遊詩人、暗殺等)\n    ● 三大議會B級以上\n素材的製作過程如下 :\n1. 選擇素材進行魔法物品的加工製作（每個魔法物品只能使用一種素材）\n  ● 成品價格 = 原價格 × ( 1.5 + 詞綴稀有倍率 )\n2. 加工費用的計算方式如下：\n  ● 原價格 × ( 加工費用倍率 - 0.5 )\n3. 素材詞綴為額外附加，不會消耗魔法物品的加值，也不會增加其加值			此區域提供 部分基礎裝備能造成的傷害 與 減傷幅度
抄寫法術&卷軸			回血水價格		回魔水價格		魔法物品以加值購買價格					詞綴賦予價格表 (高級詞 1.5倍)		各式素材價格表			盾牌	減傷幅度
環術/法術	價格（金幣）	天數	1D8	10金	1D6	15金		盾牌、鎧甲	武器、法杖	飾品、頭環、鞋子	魔導槍械	詞綴加值	價格（金幣）	種類	購買(金幣)	販賣(金幣)	小圓盾	1＋魔法物品加值/2
1環	10金	1	2D8	25金	2D6	37金	加值	價錢（金幣）	價錢（金幣）	價錢（金幣）	價錢（金幣）	1	10	精金	4200	2500	輕型木盾	1＋魔法物品加值/2
2環	20金	2	3D8	50金	3D6	75金	1	50	60	50	60	2	40	密銀	4200	2500	輕型鋼盾	2＋魔法物品加值/2
3環	50金	3	4D8	100金	4D6	150金	2	200	240	200	240	3	90	元素魔法水晶	4200	2500	重型鋼盾	4＋魔法物品加值/2
4環	100金	4	5D8	200金	5D6	300金	3	450	540	450	540	4	160	龍牙	7200	4300	塔盾	6＋魔法物品加值/2
5環	250金	5	6D8	250金	6D6	375金	4	800	960	800	960	5	250	龍麟	7200	4300	鎧甲	減傷幅度
6環	360金	6	完全	500金	完全	500金	5	1250	1500	1250	1500	6	360	龍皮	7200	4300	輕甲	參考(鎧甲使用專長)
7環	455金	7	雙完全回復水	1500金	完全解狀態水	1400金	6	1800	2160	1800	2160	7	490	夢魘之毛	7200	4300	中甲	參考(鎧甲使用專長)
8環	800金	8	功能藥水價格				7	2450	2940	2450	2940	8	640	獨角獸之毛	7200	4300	重甲	參考(鎧甲使用專長)
9環	1,500金	9	製作技能等級	難度1功能藥水	難度2功能藥水	寶鑽藥水	8	3200	3840	3200	3840	9	810	夢魘之角	N/A	15200
星界投影	2,000金	9	1	20金	50金	40金	9	4050	4860	4050	4860	10	1000	獨角獸之角	N/A	15200
祈願術	18,000金	9	2	50金	200金	160金	10	6500	7800	6500	7800	崇高石	6000	五色龍龍牙	N/A	15200
自創法術價格與天數			3	100金	450金	360金	11	8470	10150	8470	10150	拔除詞綴價格表 (高級詞 1.5倍)		五色龍龍麟	N/A	15200
環術	價格（金幣 & CP）	天數	4	250金	800金	640金	12	10800	12960	10800	12960	詞綴加值	價格（金幣）	五色龍龍弦	N/A	15200
1環	100金 & 1 CP	1周	5	500金	1250金	1000金	13	13520	16225	13520	16225	1	20	五色龍龍皮	N/A	15200
2環	400金 & 4 CP	4周	6	1250金	1800金	1440金	14	16660	20000	16660	20000	2	80	鳳羽	N/A	15200
3環	900金 & 9 CP	9周					15	19850	23825	19850	23825	3	180
4環	1600金 & 16 CP	16周					16	23040	27650	23040	27650	4	320
5環	2500金 & 25 CP	25周					17	27455	32950	27455	32950	5	500
6環	3600金 & 36 CP	36周					18	32400	39880	32400	39880	6	720
7環	4900金 & 49 CP	49周					魔法物品以等級購買價格					7	980
8環	6400金 & 64 CP	64周						盾牌、鎧甲	武器、法杖	飾品、頭環、鞋子	魔導槍械	8	1280
9環	8100金 & 81 CP	81周					等級	價錢（金幣）	價錢（金幣）	價錢（金幣）	價錢（金幣）	9	1620
							1	113	135	113	135	10	2000
							2	450	540	450	540	無效石	50
							3	1013	1215	1013	1215	特殊
							4	1800	2160	1800	2160	混沌石	300
							5	2813	3375	2813	3375	永恆聖器碎片	無價
							6	4050	4860	4050	4860
